node_u,node_v,coassign_prob
entitled,conversation,1.0
entitled,huge,1.0
entitled,okay,1.0
entitled,dad,1.0
entitled,run,1.0
entitled,headspace,1.0
entitled,funk,1.0
entitled,healthier,1.0
entitled,reevaluate,1.0
entitled,finally,1.0
entitled,impersonation,1.0
wow,giant,1.0
wow,thescoperadio.com,1.0
reassurance,start,1.0
reassurance,good,1.0
reassurance,like,1.0
reassurance,not,1.0
wow,house,1.0
wow,dive,1.0
wow,pretend,1.0
wow,connotation,1.0
wow,listener,1.0
wow,excited,1.0
wow,honeymoon,1.0
wow,possibly,1.0
wow,lately,1.0
entitled,somebody,1.0
entitled,frustration,1.0
entitled,hey,1.0
entitled,worth,1.0
entitled,idea,1.0
entitled,hear,1.0
entitled,amory,1.0
entitled,decent,1.0
entitled,afraid,1.0
entitled,absolutely,1.0
entitled,ail,1.0
entitled,deal,1.0
entitled,shrinkage,1.0
entitled,troy,1.0
entitled,space,1.0
entitled,mitch,1.0
entitled,err,1.0
entitled,let,1.0
entitled,line,1.0
entitled,concerned,1.0
entitled,definitely,1.0
entitled,spend,1.0
entitled,sort,1.0
entitled,obviously,1.0
entitled,slide,1.0
entitled,tom,1.0
entitled,job,1.0
entitled,steele,1.0
entitled,interviewer,1.0
entitled,cure,1.0
entitled,john,1.0
entitled,completely,1.0
entitled,far,1.0
fugh,climacteric,1.0
fugh,pp.15,1.0
berman,climacteric,1.0
berman,pp.15,1.0
hirsch,a.i,1.0
hirsch,fugh,1.0
hirsch,berman,1.0
hirsch,climacteric,1.0
hirsch,pp.15,1.0
a.i,fugh,1.0
a.i,berman,1.0
a.i,climacteric,1.0
a.i,pp.15,1.0
entitled,juxtapose,1.0
entitled,lundy,1.0
entitled,honest,1.0
entitled,hit,1.0
entitled,actual,1.0
tügertimur,hogenmiller,1.0
tügertimur,hirsch,1.0
tügertimur,a.i,1.0
tügertimur,fugh,1.0
tügertimur,berman,1.0
tügertimur,climacteric,1.0
tügertimur,pp.15,1.0
hogenmiller,hirsch,1.0
hogenmiller,a.i,1.0
hogenmiller,fugh,1.0
hogenmiller,berman,1.0
climacteric,pp.15,1.0
hogenmiller,climacteric,1.0
hogenmiller,pp.15,1.0
wow,gentleman,1.0
wow,embarrassing,1.0
wow,slim,1.0
wow,rear,1.0
wow,incredibly,1.0
wow,drill,1.0
wow,advertise,1.0
wow,hello@thescoperadio.com,1.0
wow,listening,1.0
wow,assume,1.0
wow,whocaresmenshealth.com,1.0
wow,anymore,1.0
wow,guest,1.0
wow,drastically,1.0
wow,watch,1.0
mcgarvey,hogenmiller,1.0
mcgarvey,a.i,1.0
mcgarvey,fugh,1.0
mcgarvey,berman,1.0
mcgarvey,climacteric,1.0
mcgarvey,pp.15,1.0
hill,tügertimur,1.0
hill,hogenmiller,1.0
hill,hirsch,1.0
hill,a.i,1.0
hill,fugh,1.0
hill,berman,1.0
fugh,berman,1.0
hill,pp.15,1.0
scialli,climacteric,1.0
hill,climacteric,1.0
a.r,mcgarvey,1.0
a.r,hill,1.0
a.r,tügertimur,1.0
a.r,hogenmiller,1.0
a.r,hirsch,1.0
a.r,a.i,1.0
a.r,fugh,1.0
a.r,berman,1.0
a.r,climacteric,1.0
a.r,pp.15,1.0
mcgarvey,hill,1.0
mcgarvey,tügertimur,1.0
huo,fugh,1.0
huo,berman,1.0
artificial,model,1.0
mcgarvey,hirsch,1.0
huo,climacteric,1.0
huo,pp.15,1.0
scialli,a.r,1.0
scialli,mcgarvey,1.0
scialli,hill,1.0
scialli,tügertimur,1.0
scialli,hogenmiller,1.0
scialli,hirsch,1.0
scialli,a.i,1.0
scialli,fugh,1.0
scialli,berman,1.0
entitled,open,1.0
entitled,love,1.0
entitled,pretty,1.0
entitled,pay,1.0
entitled,host,1.0
scialli,pp.15,1.0
huo,scialli,1.0
huo,a.r,1.0
huo,mcgarvey,1.0
huo,hill,1.0
huo,tügertimur,1.0
huo,hogenmiller,1.0
huo,hirsch,1.0
huo,a.i,1.0
entitled,yes,1.0
entitled,hotaling,1.0
entitled,soon,1.0
entitled,guy,1.0
entitled,story,1.0
entitled,episode,1.0
generative,model,1.0
intelligence,model,1.0
generative,artificial,1.0
intelligence,generative,1.0
entitled,sterility,1.0
entitled,rarity,1.0
entitled,everybody,1.0
entitled,rebound,1.0
infrastructure,bot,1.0
infrastructure,intelligence,1.0
infrastructure,generative,1.0
infrastructure,artificial,1.0
intelligence,artificial,1.0
bot,intelligence,1.0
bot,generative,1.0
bot,artificial,1.0
bot,model,1.0
entitled,anybody,1.0
entitled,gear,1.0
entitled,picture,1.0
entitled,stickler,1.0
entitled,scott,1.0
entitled,clomid,1.0
entitled,pastuszak,1.0
entitled,folk,1.0
entitled,ahead,1.0
entitled,interesting,1.0
entitled,player,1.0
entitled,metronome,1.0
entitled,radio,1.0
entitled,reality,1.0
entitled,marketing,1.0
entitled,country,1.0
entitled,sluggish,1.0
entitled,kid,1.0
positivity,nurture,1.0
negativity,positivity,1.0
negativity,nurture,1.0
elegant,intricate,1.0
ucf,bot,1.0
ucf,intelligence,1.0
infrastructure,model,1.0
upload,bot,1.0
upload,intelligence,1.0
upload,generative,1.0
upload,artificial,1.0
upload,model,1.0
software,model,1.0
upload,infrastructure,1.0
software,upload,1.0
software,infrastructure,1.0
software,bot,1.0
entitled,true,1.0
entitled,tend,1.0
entitled,real,1.0
entitled,hard,1.0
entitled,quick,1.0
entitled,person,1.0
entitled,big,1.0
entitled,sound,1.0
software,intelligence,1.0
software,generative,1.0
software,artificial,1.0
ucf,generative,1.0
ucf,artificial,1.0
ucf,model,1.0
ucf,software,1.0
ucf,upload,1.0
ucf,infrastructure,1.0
auaer,model,1.0
auaer,ucf,1.0
auaer,software,1.0
auaer,upload,1.0
auaer,infrastructure,1.0
auaer,bot,1.0
beach,contributor,1.0
entitled,dollar,1.0
entitled,childbearing,1.0
entitled,wise,1.0
entitled,tease,1.0
entitled,breaker,1.0
entitled,yeah,1.0
entitled,bring,1.0
journalist,beach,1.0
journalist,contributor,1.0
miami,beach,1.0
miami,contributor,1.0
veciana,beach,1.0
veciana,contributor,1.0
miami,journalist,1.0
ana,beach,1.0
ana,contributor,1.0
veciana,miami,1.0
veciana,journalist,1.0
auaer,intelligence,1.0
auaer,generative,1.0
auaer,artificial,1.0
wow,oftentime,1.0
wow,pocket,1.0
wow,advocate,1.0
wow,heck,1.0
reassurance,right,1.0
reassurance,feel,1.0
reassurance,look,1.0
reassurance,tell,1.0
reassurance,work,1.0
reassurance,lot,1.0
reassurance,way,1.0
reassurance,think,1.0
ana,miami,1.0
ana,journalist,1.0
suarez,ana,1.0
suarez,veciana,1.0
suarez,miami,1.0
suarez,journalist,1.0
suarez,beach,1.0
renowned,suarez,1.0
renowned,ana,1.0
renowned,veciana,1.0
renowned,miami,1.0
renowned,journalist,1.0
renowned,beach,1.0
renowned,contributor,1.0
michelle,pearlman,1.0
herald,miami,1.0
herald,journalist,1.0
herald,beach,1.0
herald,contributor,1.0
palm,beach,1.0
palm,contributor,1.0
herald,renowned,1.0
