node,stability,mode_cluster
allan,0.5225,6
mclachlin,0.5225,6
jameson,0.5225,6
groot,0.5225,6
fate,0.46,0
squat,0.46,0
elsevi,0.5225,6
kretser,0.5225,6
saunder,0.5225,6
incl,0.4575,0
lipids,0.4575,0
roaccutane,0.295,1
sunlight,0.295,1
bitch,0.33,0
tit,0.33,0
beginner,0.2075,6
explainer,0.21,6
cue,0.44,0
mirror,0.4275,0
cycling,0.3175,3
resurface,0.32,3
advantageous,0.37,4
prematurely,0.37,4
cypinate,0.325,3
simply:-,0.3225,3
dignify,0.2175,1
ethically,0.225,1
circle,0.365,1
procreate,0.3625,1
strange,0.365,1
fertilizer,0.4475,0
shutdown,0.4475,0
leaching,0.4475,0
entitled,0.405,1
taker,0.405,1
grossly,0.4475,0
immunity,0.4475,0
pesticide,0.4475,0
chasing,0.4475,0
d’etre,0.4025,1
junior,0.4025,1
witness,0.4025,1
niche,0.4025,1
raison,0.4025,1
earth,0.405,1
skill,0.405,1
disappointing,0.3025,2
mimics,0.3,2
eureka,0.4025,1
fullness,0.31,2
assumption,0.405,1
miracle,0.405,1
strapline,0.4075,1
spectacular,0.405,1
additive,0.2625,2
improperly,0.2625,2
conception,0.36,0
unreasonable,0.3425,1
constraint,0.365,0
feasible,0.365,0
unachievable,0.365,0
manager,0.2875,2
pcm,0.29,2
aas,0.4475,0
haematochromatosis,0.4475,0
comb,0.405,1
mane,0.405,1
intracranial,0.4475,0
chitchat,0.405,1
bubble,0.33,3
syringe,0.33,3
angle,0.33,3
destruction,0.4475,0
bump,0.405,1
blvd,0.1725,0
positas,0.1725,0
las,0.1725,0
stanfordhealthcare.org,0.25,1
technical,0.2525,1
hostile,0.2475,4
personality,0.2475,4
jean,0.365,5
m.b.a,0.365,5
calcification,0.2425,4
hopkin,0.2425,4
exemestane,0.34,0
lazy,0.345,0
experiment,0.375,5
organize,0.375,5
interactive,0.265,5
invaluable,0.26,5
aetiology,0.4475,0
panhypopituitarism,0.4475,0
psychiatric,0.36,5
recruit,0.3575,5
disruptor,0.3575,5
allowance,0.57,7
rda,0.57,7
cmd,0.37,5
timothy,0.37,5
abbott,0.345,5
solvay,0.345,5
laboratories,0.345,5
proc,0.4825,6
