node,domain,degree,w_degree,betweenness,eigenvector,subcluster
muscle,nan,195,266.4214775713212,0.024507379008986727,0.058161227621649644,0
anxiety,nan,189,266.4306189462539,0.00012367054167697255,0.06000124762769135,0
erection,nan,178,272.5208905641476,0.0,0.05955507055016833,0
hair,nan,165,222.7863970100628,0.004369692472586364,0.04796773769915205,0
ejaculation,nan,75,185.12371921895817,0.0,0.03971375969531232,0
hot,nan,122,237.56715932550992,0.039450902794954244,0.05194626278855963,1
depressed,nan,85,205.32797002547105,0.0,0.04630001407352719,1
orgasm,nan,43,140.65325972936387,0.0,0.030575207101071377,1
libido,nan,216,283.75655307705784,0.019993404237777228,0.06237003666793678,2
erectile,nan,213,276.9415717555119,0.0022054579932393437,0.060765227298372346,2
weight,nan,210,283.1685238344983,0.005070492208755875,0.06419268677956803,2
gain,nan,175,282.240604174976,6.183527083848628e-05,0.062109511878657916,2
