cluster,node,deg,rank_within_cluster,is_ams
0,not,2463,1.0,
0,like,1787,2.0,
0,help,1653,3.0,
0,time,1580,4.0,
0,need,1550,5.0,
0,doctor,1359,6.0,
0,good,1279,7.0,
0,know,1263,8.0,
0,work,1241,9.0,
0,find,1229,10.0,
1,content,248,1.0,
1,technology,169,2.0,
1,reward,159,3.0,
1,combat,101,4.0,
1,strive,100,5.0,
1,artificial,81,6.0,
1,earn,80,7.0,
1,restriction,75,8.0,
1,actively,73,9.0,
1,language,68,10.0,
2,trt,1677,1.0,
2,effect,1419,2.0,
2,medication,1272,3.0,
2,long,1192,4.0,
2,option,1071,5.0,
2,provide,1027,6.0,
2,base,1004,7.0,
2,available,981,8.0,
2,provider,972,9.0,
2,common,969,10.0,
3,example,574,1.0,
3,screening,389,2.0,
3,prevention,260,3.0,
3,highly,223,4.0,
3,counseling,143,5.0,
3,comment,135,6.0,
3,section,112,7.0,
3,multi,105,8.0,
3,cessation,97,9.0,
3,childhood,89,10.0,
4,testosterone,4108,1.0,
4,therapy,2245,2.0,
4,treatment,2156,3.0,
4,patient,1964,4.0,
4,risk,1606,5.0,
4,result,1509,6.0,
4,study,1356,7.0,
4,deficiency,1240,8.0,
4,test,1171,9.0,
4,year,1120,10.0,
5,online,718,1.0,
5,late,524,2.0,
5,access,491,3.0,
5,screen,385,4.0,
5,society,326,5.0,
5,endocrine,313,6.0,
5,onset,288,7.0,
5,physiology,282,8.0,
5,internet,266,9.0,
5,cite,245,10.0,
6,man,2875,1.0,
6,low,2341,2.0,
6,symptom,1725,3.0,
6,body,1621,4.0,
6,increase,1586,5.0,
6,age,1366,6.0,
6,change,1333,7.0,
6,normal,1213,8.0,
6,life,1196,9.0,
6,experience,1193,10.0,
7,level,2615,1.0,
7,hormone,1930,2.0,
7,include,1774,3.0,
7,cause,1663,4.0,
7,blood,1560,5.0,
7,male,1534,6.0,
7,high,1415,7.0,
7,use,1303,8.0,
7,condition,1235,9.0,
7,hypogonadism,1192,10.0,
8,post,131,1.0,
8,version,130,2.0,
8,translate,71,3.0,
8,pearlman,68,4.0,
8,pdf,63,5.0,
8,courtesy,55,6.0,
8,miami,54,7.0,
8,altogether,49,8.0,
8,contributing,48,9.0,
8,beach,38,10.0,
9,health,2287,1.0,
9,medical,1479,2.0,
9,replacement,1381,3.0,
9,medicine,986,4.0,
9,support,940,5.0,
9,research,865,6.0,
9,expert,730,7.0,
9,receive,661,8.0,
9,healthcare,650,9.0,
9,team,605,10.0,
10,healthy,1063,1.0,
10,diet,691,2.0,
10,boost,647,3.0,
10,food,577,4.0,
10,add,505,5.0,
10,eat,505,6.0,
10,contain,404,7.0,
10,vitamin,368,8.0,
10,balanced,319,9.0,
10,source,318,10.0,
11,track,191,1.0,
11,shape,115,2.0,
11,task,106,3.0,
11,light,100,4.0,
11,powerful,90,5.0,
11,tremendous,64,6.0,
11,capture,54,7.0,
11,stream,51,8.0,
11,ray,39,9.0,
11,unexpected,37,10.0,
