node,x,y,cluster_leiden,is_AMS
allan,-0.34420819572407213,-0.424028023480554,6,0
mclachlin,-0.3895964962090463,-0.4043035760937772,6,0
jameson,-0.4479647748441688,-0.4567361304058465,6,0
groot,-0.4043846355865022,-0.4821350812854372,6,0
fate,0.043852786286356714,0.4877216563135327,0,0
squat,0.14512717711633488,0.4226868939780455,4,0
elsevi,-0.40295426166020615,-0.5269475192640007,6,0
kretser,-0.42239610510295694,-0.49613741032341446,6,0
saunder,-0.3859385301373592,-0.5197364657125518,6,0
incl,-0.4998839666616692,0.26502967115297427,0,0
lipids,-0.4930109936599211,0.2737039543127725,0,0
roaccutane,-0.09485154222299415,0.48913950111870236,0,0
sunlight,-0.04834217255042904,0.5094210367779769,0,0
bitch,-0.02475080987840826,0.5410104530887901,5,0
tit,0.0015834517847393857,0.5226070361917003,5,0
beginner,0.17681332626332874,-0.5085538127521273,3,0
explainer,0.2055614637311103,-0.47401371603325565,3,0
cue,-0.14722818959077866,0.4725654891635526,0,0
mirror,-0.10742863884827661,0.4904254198824432,0,0
cycling,0.36344476462987985,0.46401326091484013,1,0
resurface,0.352861245954287,0.4735322650059753,1,0
advantageous,0.43713673507865947,0.13666696131034725,5,0
prematurely,0.44788592430236057,0.14505377437943415,5,0
cypinate,0.019849546167173035,0.5309211522493851,1,0
simply:-,-0.011209799511697005,0.5225730289712646,1,0
dignify,0.47148539774785175,0.023140629186068705,5,0
ethically,0.4414552334439659,-0.04887522966757872,5,0
circle,0.4419847630244915,0.011702685043406331,4,0
procreate,0.4349282111666403,0.00423261367838819,4,0
strange,0.4513407767048334,-0.06644309831908714,4,0
fertilizer,-0.15715104974737584,0.4857780404415621,0,0
shutdown,-0.1870841915185376,0.45349321146841626,0,0
leaching,-0.11932991831365072,0.529314844691944,0,0
entitled,0.4851609917607928,-0.030789073471616725,4,0
taker,0.4642906393894105,-0.082096776258043,4,0
grossly,-0.3865132900806002,0.36372485742058935,0,0
immunity,-0.34002946485413843,0.36249641299628,0,0
pesticide,-0.06488932379954607,0.507525598236395,0,0
chasing,-0.2870826362657658,0.39250659400808785,0,0
d’etre,0.5969159670196187,0.05704752927091798,4,0
junior,0.5503183710461311,0.004368482944635921,4,0
witness,0.5583873515654959,0.12825904403050192,4,0
niche,0.5682752060803813,0.09684907398562023,4,0
raison,0.5794576316827053,0.08186366524565258,4,0
earth,0.5353275430406153,0.11914707663320227,4,0
skill,0.530695445619968,0.12843013078601737,4,0
disappointing,0.3157443506263582,0.23854554427543576,0,0
mimics,0.26304394832507294,0.27806567440632457,0,0
eureka,0.5418787300992151,0.16621912873073524,4,0
fullness,0.3079441520414103,0.36297249116980074,0,0
assumption,0.47833077121406903,0.11917474147923669,4,0
miracle,0.5093480015467843,-0.03454112955826973,4,0
strapline,0.4999236215267861,-0.19483708567586946,4,0
spectacular,0.44008657763677206,0.18524657465082087,4,0
additive,0.443369990083223,0.23308835477923123,1,0
improperly,0.46426992806237316,0.24746408256367206,1,0
conception,0.3040305889859485,0.2667330503726983,0,0
unreasonable,0.27301105187855973,0.3684847377981967,0,0
constraint,0.19997322367346237,0.48002198555946307,0,0
feasible,0.2026412632944647,0.45805166177564993,0,0
unachievable,0.1829202742500955,0.5034933275092428,0,0
manager,0.4268236537951671,0.1492761741480893,1,0
pcm,0.4917418179463666,0.003690215158914839,1,0
aas,-0.41210638706378055,0.39706931589374245,0,0
haematochromatosis,-0.46886436214431254,0.34523605016988423,0,0
comb,0.49820051115255554,0.3242543618127042,4,0
mane,0.48478327866471854,0.32544688163786867,4,0
intracranial,-0.5105979808007725,0.3038252881262434,0,0
chitchat,0.49084927029242376,0.3480910782958167,4,0
bubble,0.09575126438070648,0.5203297979590603,1,0
syringe,0.13593623310729758,0.5448675604050457,1,0
angle,0.0800690499687386,0.5413228015563543,1,0
destruction,-0.4875067082479633,0.3100554275485726,0,0
bump,0.46473653128454934,0.41738530076547037,4,0
blvd,-0.5747198142287169,-0.35079264410100097,3,0
positas,-0.5690349446620536,-0.30751683634487426,3,0
las,-0.5726403358334881,-0.23203784169592218,3,0
stanfordhealthcare.org,0.4792176063093207,-0.06579489433359209,5,0
technical,0.4351151865624547,-0.08663774490664068,5,0
hostile,-0.4185725568862682,0.039129037046026084,2,0
personality,-0.4333559284755003,0.09453601133542262,2,0
jean,0.29597828612230737,-0.39841860887720354,3,0
m.b.a,0.30268017359688637,-0.43504623137780796,3,0
calcification,-0.334319571587802,0.028402592297978188,2,0
hopkin,-0.4637784878497879,0.040181468301922825,2,0
exemestane,-0.35351733819898334,0.23765534192004611,0,0
lazy,-0.3280514965336164,0.2929814973236468,0,0
experiment,-0.08541422993024905,-0.4586304590669334,3,0
organize,-0.04852293246849953,-0.48601449090043825,3,0
interactive,0.2904033615261227,-0.3067304511828245,3,0
invaluable,0.27958242183899534,-0.3076371655683685,3,0
aetiology,-0.43185526465069723,0.3977679301882775,0,0
panhypopituitarism,-0.4982596150993509,0.33956985862267114,0,0
psychiatric,-0.10694061222869185,-0.3754297447502817,6,0
recruit,-0.04980584330003574,-0.46247156655841715,6,0
disruptor,-0.10245350530547963,-0.39721542642859237,6,0
allowance,0.15886851214333148,-0.29437461686725747,7,0
rda,0.2035246474294461,-0.27895977072485917,7,0
cmd,0.12787937765035243,-0.438872691197624,3,0
timothy,0.14426965224656121,-0.4247223915597382,3,0
abbott,-0.3418718449277605,-0.3052258562225879,3,0
solvay,-0.34898731438316666,-0.2988079461072715,3,0
laboratories,-0.34534587218364515,-0.3181609129386523,3,0
proc,-0.14853538403719146,-0.4381810974423469,6,0
pubmed.ncbi.nlm.nih.gov/27313122/.,-0.10499973824510551,-0.44715598793904415,6,0
dubious,0.17184540831279999,-0.43724989928667657,3,0
nearby,0.24192616593116417,-0.38477397789857565,3,0
ag030644,0.19123091535113612,-0.5746290216144287,3,0
u01,0.21463262462696886,-0.5869620439177294,3,0
diego,0.39206777652432734,-0.5413554504428012,3,0
minnesota,0.3626415879578087,-0.5673273073881412,3,0
genotypically,-0.48492055163706005,0.41124886003622524,0,0
phenotypically,-0.48806249626595605,0.3963029755192366,0,0
puget,0.37725822140744397,-0.546189974960666,3,0
alabama,0.3327071759853938,-0.5548650984285999,3,0
birmingham,0.33600095642486255,-0.5234313407846877,3,0
feinberg,0.35820826844306275,-0.5308366321816352,3,0
brigham,0.28827132527221744,-0.5360810439491538,3,0
bilateral,-0.4146578009950517,0.3220175354706473,0,0
albert,0.15548715257831291,-0.5440121621149598,3,0
einstein,0.18806979690844855,-0.5430324190158881,3,0
caveat,0.40711213906401006,0.37627917930304544,4,0
inherently,0.4699408428030936,0.32759421243234876,4,0
disseminate,0.42504870638529507,-0.20250041081654316,3,0
handout,0.4345383246641494,-0.18422264865475152,3,0
comforting,0.49554056152113335,0.03840227895715167,4,0
globe,0.3840886288809305,0.3867987566120938,5,0
c.p.t,-0.033756127305282664,-0.40272157005029474,3,0
r.d,-0.012149866719743621,-0.41602300204692816,3,0
trainer,0.028865527755109616,-0.41334416995037376,3,0
blye,0.7330938841009068,-0.1285911029746718,4,0
elyse,0.7103122158386829,-0.07715174131105304,4,0
arthur,-0.12500899102947896,-0.40781617182147784,2,0
patrick,-0.1398308595107465,-0.4280134120996031,2,0
walsh,-0.11596433740681877,-0.45635814394525526,2,0
alive,0.3301711167279384,0.2682570952943472,7,0
ritual,0.3467498275903851,0.24805515857599603,7,0
gathering,0.24317792241018446,0.3012316940269423,7,0
demotivate,0.3000118133372599,0.198928235354476,7,0
retired,0.4164625077145867,0.2255840419714811,7,0
plate,0.3468555521514717,0.3714377012419539,7,0
starch,0.3024503263526296,0.4720226302694347,7,0
serving,0.26146917886537996,0.41534406235441496,7,0
fulfill,0.5320207765328108,-0.07189449079688633,4,0
oomph,0.5054884479123577,-0.11420282413704261,4,0
dream,0.5554926347695364,-0.004543329415183274,4,0
boyle,-0.05620223444973488,-0.4758082564012483,2,0
lyon,-0.08256835403121872,-0.47496508652283204,2,0
reframe,0.40423845674637654,-0.12140292804531823,7,0
tradeoff,0.3693501800855447,-0.1730405261986225,7,0
1improvement,-0.18178556697079135,0.4707456693105858,5,0
2improved,-0.23489099572820984,0.5017073049611547,5,0
3improved,-0.23108444322390154,0.5565339594588684,5,0
4improved,-0.29448798314915436,0.5326457870968798,5,0
5increased,-0.361767407813425,0.5355734002176051,5,0
authentically,0.4929182476344865,-0.06505005196919961,5,0
undermine,0.5058756323623794,0.06169886111876445,5,0
6increase,-0.4022199655271022,0.5126908394405656,5,0
sleuthing,0.49526247030039783,0.01712465600676225,5,0
dietician,0.011444979778749358,-0.3859394280743765,3,0
tandem,-0.000639932829892792,-0.4197836612724319,3,0
companion,0.5023507143740271,0.027837476666561976,5,0
thickness,-0.3741819431573556,0.5216960622535088,5,0
7improve,-0.39334799316774655,0.5044360565771707,5,0
8improve,-0.38121634133244675,0.4815707153724327,5,0
construct,0.44117103929790075,-0.023407632949857513,4,0
sufficiency,0.4561745538805094,0.03545644520775324,4,0
9increase,-0.43280731803144656,0.3166276298234132,5,0
excite,0.48034813787195046,0.06557276797236716,4,0
joyful,0.4941955474152426,0.0668468552060605,4,0
passionate,0.47453908315284277,0.08510295986522909,4,0
j.a,-0.3369248531227099,-0.34949067321951394,2,0
mendonça,-0.31900043097944814,-0.3834873088135923,2,0
frustrated,0.5581472363468403,0.05791935935228514,4,0
nagging,0.4638589351746504,0.1562177856407449,4,0
e2348692,-0.34266959254415846,-0.40710279109207015,2,0
pp.e2348692,-0.32588662833251303,-0.45537691702288663,2,0
almeida,-0.3352795073068039,-0.37326092686521156,2,0
ferreira,-0.32718259652221227,-0.37875070737389954,2,0
aboriginal,0.3844022700189427,-0.34040638111226484,3,0
strait,0.3999187742837433,-0.33856152043538795,3,0
islander,0.4192947026094476,-0.3342996797488256,3,0
psychosis,-0.4642022837351795,0.44237337966207524,7,0
schizophrenia,-0.4218052223384354,0.4695661949384786,7,0
