node,deg,deg_norm,betweenness,eigenvector,pagerank,cluster
(aspen,15,0.002167943,1.43E-06,0.001999301,6.17E-05,2
(bayer,17,0.002457002,1.98E-07,0.001932904,7.89E-05,2
"(besin),gel",14,0.002023414,1.27E-07,0.001100948,7.60E-05,2
"(ferring),gel",16,0.002312473,9.82E-07,0.002074879,6.81E-05,2
(nordic,15,0.002167943,1.16E-07,0.002517282,5.97E-05,2
"(prostrakan),gel",16,0.002312473,5.35E-07,0.001309014,8.48E-05,2
"+1,150%)—likely",20,0.002890591,3.46E-07,0.002734951,7.41E-05,9
.in,19,0.002746062,2.10E-07,0.003485342,6.54E-05,6
/memory,20,0.002890591,9.79E-08,0.003285474,6.51E-05,6
1.publishe,15,0.002167943,8.23E-07,0.001776626,7.11E-05,5
10division,14,0.002023414,3.94E-06,0.001736957,6.42E-05,9
11division,13,0.001878884,7.02E-08,0.001283325,6.98E-05,9
12department,21,0.003035121,2.31E-06,0.002583016,8.18E-05,9
12nmol,16,0.002312473,7.99E-08,0.002675934,5.28E-05,4
13a,10,0.001445296,2.18E-09,0.001685731,4.69E-05,9
15nmol,15,0.002167943,4.07E-08,0.003114148,4.77E-05,2
1688%—a,17,0.002457002,2.85E-08,0.00334296,5.11E-05,0
180pmol,13,0.001878884,1.26E-07,0.002577772,4.69E-05,4
18y,44,0.0063593,5.49E-06,0.00376575,0.000115586,3
1gm,16,0.002312473,2.87E-07,0.002023721,7.18E-05,2
1improvement,20,0.002890591,4.70E-07,0.003283461,5.82E-05,6
2021;15(5):e234,20,0.002890591,8.96E-08,0.003387234,6.61E-05,4
2023a,16,0.002312473,2.37E-09,0.002765378,4.40E-05,6
20s-30s,15,0.002167943,4.00E-07,0.002427156,4.95E-05,6
20y,44,0.0063593,4.89E-06,0.003772577,0.00011388,3
24emory,18,0.002601532,2.72E-08,0.003605735,5.31E-05,0
2838ur,16,0.002312473,9.75E-08,0.003086859,5.15E-05,2
2improved,19,0.002746062,1.11E-06,0.002859645,6.10E-05,6
300s,34,0.004914005,1.46E-07,0.005783707,6.61E-05,0
35y,45,0.00650383,8.01E-06,0.003791982,0.000115807,3
3improved,19,0.002746062,1.66E-06,0.002853833,6.37E-05,6
40s-60s,15,0.002167943,3.27E-08,0.002605975,4.69E-05,6
40y,43,0.006214771,5.74E-06,0.003933714,0.000106576,3
