node,deg,deg_norm,betweenness,eigenvector,pagerank,community
(aspen,6,0.000867177337765573,7.77209343371221e-08,0.0011960430645793143,5.229382858323712e-05,1
(bayer,8,0.0011562364503540975,8.542820950152694e-08,0.0008243001228958438,7.859632651931226e-05,1
"(besin),gel",6,0.000867177337765573,9.03426443403675e-09,0.0004499597035448883,6.342864828667435e-05,1
"(ferring),gel",9,0.0013007660066483597,3.1435305679052984e-07,0.001482533614338092,6.210859764677318e-05,1
(nordic,9,0.0013007660066483597,1.0581477131312353e-07,0.0021328396512633927,6.3271544587994e-05,1
"(prostrakan),gel",9,0.0013007660066483597,2.0635006082129016e-07,0.0008463400452162499,8.604231722949762e-05,1
"+1,150%)—likely",10,0.0014452955629426219,6.424598657569728e-07,0.002051315650798885,6.769797621522796e-05,12
.in,10,0.0014452955629426219,2.035313525922353e-07,0.0025118357904109533,6.140247669096631e-05,5
/memory,10,0.0014452955629426219,1.2783471997119616e-07,0.0023980873566194294,5.97700550453962e-05,5
1.publishe,10,0.0014452955629426219,4.556246972010858e-07,0.0017018168467153782,7.393883793146054e-05,11
10division,7,0.0010117068940598353,8.436093254694947e-09,0.0013725784164636812,5.1975328262270843e-05,11
11division,9,0.0013007660066483597,2.809053749936503e-08,0.0013706386451429447,7.137620356471455e-05,11
12department,10,0.0014452955629426219,1.0831234114510111e-06,0.0018546799689945952,6.927254779871799e-05,11
12nmol,9,0.0013007660066483597,6.748079717436038e-08,0.002412821116820892,4.4686071886004296e-05,6
13a,6,0.000867177337765573,6.76280350458672e-09,0.0012272093588844449,5.1342725290518e-05,11
15nmol,8,0.0011562364503540975,4.907774831547194e-10,0.002957554726531409,4.005616866289681e-05,3
1688%—a,9,0.0013007660066483597,1.9351824384441417e-07,0.002580858413980336,5.031188978670348e-05,3
180pmol,6,0.000867177337765573,5.522885943041284e-10,0.0018835105321800165,3.8703772817778574e-05,1
18y,19,0.0027460615695909813,2.2007729950190544e-05,0.0024890809262049576,9.428008163344053e-05,2
1gm,10,0.0014452955629426219,2.9978364528282905e-07,0.0023873462971383884,6.341583849786885e-05,1
1improvement,10,0.0014452955629426219,3.1387886319772084e-07,0.0023810067175442148,5.3461312485154365e-05,5
